scenario,topology,layer,class,fault_family,nika_label,nika_category,in_taxonomy,note
ospf-enterprise-dns-named-down,ospf_enterprise_static,base,base,service down,service_down,NETWORK_NODE_ERROR,true,
ospf-enterprise-host1-wrong-gateway,ospf_enterprise_static,base,base,host misconfig (wrong default gateway),host_incorrect_gateway,END_HOST_FAILURE,true,
ospf-enterprise-serveraccess-ospfd-down,ospf_enterprise_static,base,base,routing daemon down,frr_service_down,NETWORK_NODE_ERROR,true,
ospf-enterprise-web1-default-route-removed,ospf_enterprise_static,base,base,host static route removed,host_incorrect_gateway,END_HOST_FAILURE,true,partial: the host's default (gateway) route is deleted rather than pointed at a wrong IP; closest NIKA host-gateway fault
ospf-enterprise-web2-apache-down,ospf_enterprise_static,base,base,service down,service_down,NETWORK_NODE_ERROR,true,
ospf-enterprise-core1-ospfd-down-misdescribed,ospf_enterprise_static,cex,wrong-cause,routing daemon down (misdescribed ticket),frr_service_down,NETWORK_NODE_ERROR,true,NIKA-substrate misdescribed counter-example (clean ospf_enterprise topology; real ospfd-down fault on router_core_1; ticket misdescribes it as a physical cable/link failure)
ospf-enterprise-dist1-ospfd-down-misdirected,ospf_enterprise_static,cex,wrong-device,routing daemon down (misdirected ticket),frr_service_down,NETWORK_NODE_ERROR,true,NIKA-substrate misdirected counter-example (clean ospf_enterprise topology; real ospfd-down fault on switch_dist_1_1; ticket blames the access switch switch_access_1_1_1)
ospf-enterprise-dns-named-down-misdescribed,ospf_enterprise_static,cex,wrong-cause,service down (misdescribed ticket -- wrong cause),service_down,NETWORK_NODE_ERROR,true,"NIKA-substrate misdescribed counter-example (clean ospf_enterprise topology; real DNS/named-down fault on dns_server; ticket blames the network/routing path -- right device, wrong cause)"
ospf-enterprise-dns-named-down-misdirected,ospf_enterprise_static,cex,wrong-device,service down (misdirected ticket),service_down,NETWORK_NODE_ERROR,true,NIKA-substrate misdirected counter-example (clean ospf_enterprise topology; real DNS/named-down fault on dns_server; ticket blames the web servers)
ospf-enterprise-false-premise-dns-intermittent,ospf_enterprise_static,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean ospf_enterprise topology; no fault injected; false-premise DNS-intermittent/slow ticket)
ospf-enterprise-false-premise-dns-resolution-healthy,ospf_enterprise_static,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean ospf_enterprise topology; no fault injected; false-premise DNS-dead ticket)
ospf-enterprise-false-premise-host1-datacenter-isolated,ospf_enterprise_static,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean ospf_enterprise topology; no fault injected; false-premise host-isolated-from-data-center ticket)
ospf-enterprise-false-premise-host1-serverfarm-noreach,ospf_enterprise_static,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean ospf_enterprise topology; no fault injected; false-premise host-egress/server-farm-noreach ticket)
ospf-enterprise-false-premise-ospf-core-flapping,ospf_enterprise_static,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean ospf_enterprise topology; no fault injected; false-premise OSPF-core-flapping ticket)
ospf-enterprise-false-premise-serverfarm-unreachable,ospf_enterprise_static,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean ospf_enterprise topology; no fault injected; false-premise server-farm/backbone-outage ticket)
ospf-enterprise-false-premise-web-down,ospf_enterprise_static,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean ospf_enterprise topology; no fault injected; false-premise web-outage ticket)
ospf-enterprise-false-premise-web1-down,ospf_enterprise_static,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean ospf_enterprise topology; no fault injected; false-premise web1-outage ticket)
ospf-enterprise-false-premise-web23-unreachable,ospf_enterprise_static,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean ospf_enterprise topology; no fault injected; false-premise web2/web3-unreachable ticket)
ospf-enterprise-web0-apache-down-misdescribed,ospf_enterprise_static,cex,wrong-cause,service down (misdescribed ticket -- wrong cause),service_down,NETWORK_NODE_ERROR,true,"NIKA-substrate misdescribed counter-example (clean ospf_enterprise topology; real Apache-down fault on web_server_0; ticket blames the network/routing path -- right device, wrong cause)"
ospf-enterprise-web0-apache-down-misdirected,ospf_enterprise_static,cex,wrong-device,service down (misdirected ticket),service_down,NETWORK_NODE_ERROR,true,NIKA-substrate misdirected counter-example (clean ospf_enterprise topology; real Apache-down fault on web_server_0; ticket blames DNS)
simple-bgp-pc1-wrong-gateway,simple_bgp,base,base,host misconfig (wrong default gateway),host_incorrect_gateway,END_HOST_FAILURE,true,
simple-bgp-pc2-no-default-route,simple_bgp,base,base,host misconfig (missing default route),host_incorrect_gateway,END_HOST_FAILURE,true,partial: NIKA's host_incorrect_gateway points the default route at a wrong next-hop; here the default route is absent entirely -- same lost-gateway effect
simple-bgp-router1-bgpd-down,simple_bgp,base,base,routing daemon down,frr_service_down,NETWORK_NODE_ERROR,true,
simple-bgp-router1-lan-link-down,simple_bgp,base,base,link cut (LAN leg),link_down,LINK_FAILURE,true,
simple-bgp-router1-neighbor-removed,simple_bgp,base,base,BGP neighbor statement removed,none,NOVEL,false,BGP neighbor statement removed; NIKA has ospf_neighbor_missing but no BGP neighbor-removal fault
simple-bgp-router1-network-removed,simple_bgp,base,base,BGP missing network advertisement,bgp_missing_route_advertisement,MISCONFIGURATION,true,
simple-bgp-router2-frr-stack-down,simple_bgp,base,base,routing stack crash (zebra + bgpd),frr_service_down,NETWORK_NODE_ERROR,true,"entire FRR stack (zebra + bgpd + watchfrr) killed, not only bgpd"
simple-bgp-router2-interas-link-down,simple_bgp,base,base,link cut (inter-AS),link_down,LINK_FAILURE,true,
simple-bgp-router2-iptables-icmp-drop,simple_bgp,base,base,ACL drops transit ICMP,icmp_acl_block,MISCONFIGURATION,true,implemented as an iptables FORWARD drop on the transit router (NIKA's variant installs the same icmp drop via nftables)
simple-bgp-router2-wrong-remote-as,simple_bgp,base,base,BGP wrong remote-as (ASN mismatch),bgp_asn_misconfig,MISCONFIGURATION,true,"partial: NIKA's bgp_asn_misconfig rewrites the router's own ASN; here router2's remote-as for the peer is wrong -- same eBGP ASN-mismatch, session cannot establish"
simple-bgp-false-premise-asymmetric-return,simple_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean simple_bgp topology; no fault injected; false-premise asymmetric-return-path ticket)
simple-bgp-false-premise-flapping-peer,simple_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean simple_bgp topology; no fault injected; false-premise flapping-peer ticket)
simple-bgp-false-premise-high-latency,simple_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean simple_bgp topology; no fault injected; false-premise high-latency/congestion ticket)
simple-bgp-false-premise-packet-loss,simple_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean simple_bgp topology; no fault injected; false-premise packet-loss ticket)
simple-bgp-false-premise-peer-unreachable,simple_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean simple_bgp topology; no fault injected; false-premise eBGP-peering-outage ticket)
simple-bgp-false-premise-prefix-not-advertised,simple_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean simple_bgp topology; no fault injected; false-premise prefix-not-advertised ticket)
simple-bgp-false-premise-route-churn,simple_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean simple_bgp topology; no fault injected; false-premise route-churn/flapping-RIB ticket)
simple-bgp-false-premise-session-resetting,simple_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean simple_bgp topology; no fault injected; false-premise session-resetting ticket)
simple-bgp-false-premise-wan-link-down,simple_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean simple_bgp topology; no fault injected; false-premise WAN-link-down ticket)
simple-bgp-interas-link-down-misdescribed,simple_bgp,cex,wrong-cause,link down (misdescribed ticket),link_down,LINK_FAILURE,true,NIKA-substrate misdescribed counter-example (clean simple_bgp topology; real inter-AS link-down fault on router1 eth0; ticket blames the BGP configuration)
simple-bgp-interas-link-down-misdirected,simple_bgp,cex,wrong-device,link down (misdirected ticket),link_down,LINK_FAILURE,true,NIKA-substrate misdirected counter-example (clean simple_bgp topology; real inter-AS link-down fault on router1 eth0; ticket blames router2)
simple-bgp-router1-bgpd-down-misdescribed,simple_bgp,cex,wrong-cause,routing daemon down (misdescribed ticket),frr_service_down,NETWORK_NODE_ERROR,true,NIKA-substrate misdescribed counter-example (clean simple_bgp topology; real bgpd-down fault on router1; ticket blames a physical link failure)
simple-bgp-router1-bgpd-down-misdirected,simple_bgp,cex,wrong-device,routing daemon down (misdirected ticket),frr_service_down,NETWORK_NODE_ERROR,true,NIKA-substrate misdirected counter-example (clean simple_bgp topology; real bgpd-down fault on router1; ticket blames router2)
simple-bgp-router2-bgpd-down-misdescribed,simple_bgp,cex,wrong-cause,routing daemon down (misdescribed ticket),frr_service_down,NETWORK_NODE_ERROR,true,NIKA-substrate misdescribed counter-example (clean simple_bgp topology; real bgpd-down fault on router2; ticket blames a physical link failure)
simple-bgp-router2-bgpd-down-misdirected,simple_bgp,cex,wrong-device,routing daemon down (misdirected ticket),frr_service_down,NETWORK_NODE_ERROR,true,NIKA-substrate misdirected counter-example (clean simple_bgp topology; real bgpd-down fault on router2; ticket blames router1)
